x-axis,1,2,3
second,Volt,Volt,Volt
-875.00E-06,+2.70854E-03,+1.40703519E+00,-276.05535E-03
-850.00E-06,+2.48241E-03,+1.41331659E+00,-282.33676E-03
-825.00E-06,+1.67839E-03,+1.60804021E+00,-276.05535E-03
-800.00E-06,+2.10553E-03,+1.40703519E+00,-370.27646E-03
-775.00E-06,+1.67839E-03,+1.40703519E+00,-276.05535E-03
-750.00E-06,+2.45729E-03,+1.41331659E+00,-276.05535E-03
-725.00E-06,+1.67839E-03,+1.40703519E+00,-320.02520E-03
-700.00E-06,+1.67839E-03,+1.40703519E+00,-370.27646E-03
-675.00E-06,+1.67839E-03,+1.40703519E+00,-332.58801E-03
-650.00E-06,+1.67839E-03,+1.40703519E+00,-477.06038E-03
-625.00E-06,+1.67839E-03,+1.40703519E+00,-433.09053E-03
-600.00E-06,+1.67839E-03,+1.40703519E+00,-370.27646E-03
-575.00E-06,+1.67839E-03,+1.49497489E+00,-276.05535E-03
-550.00E-06,+1.67839E-03,+1.40703519E+00,-276.05535E-03
-525.00E-06,+1.67839E-03,+1.25000001E+00,-320.02520E-03
-500.00E-06,+1.67839E-03,+1.40703519E+00,-370.27646E-03
-475.00E-06,+1.90452E-03,+1.40703519E+00,-276.05535E-03
-450.00E-06,+2.48241E-03,+1.40703519E+00,-276.05535E-03
-425.00E-06,+2.30653E-03,+1.40703519E+00,-276.05535E-03
-400.00E-06,+2.48241E-03,+1.40703519E+00,-382.83927E-03
-375.00E-06,+2.48241E-03,+1.40703519E+00,-420.52771E-03
-350.00E-06,+2.50754E-03,+1.40075378E+00,-282.33676E-03
-325.00E-06,+2.48241E-03,+1.36306534E+00,-276.05535E-03
-300.00E-06,+3.28643E-03,+1.30025127E+00,-382.83927E-03
-275.00E-06,+3.28643E-03,+1.20603016E+00,-477.06038E-03
-250.00E-06,+3.28643E-03,+1.40075378E+00,-470.77897E-03
-225.00E-06,+3.28643E-03,+1.36306534E+00,-276.05535E-03
-200.00E-06,+4.09045E-03,+1.31281408E+00,-276.05535E-03
-175.00E-06,+4.09045E-03,+1.20603016E+00,-332.58801E-03
-150.00E-06,+4.09045E-03,+1.20603016E+00,-276.05535E-03
-125.00E-06,+4.09045E-03,+1.25000001E+00,-276.05535E-03
-100.00E-06,+4.89447E-03,+1.20603016E+00,-276.05535E-03
-75.00E-06,+5.12060E-03,+1.20603016E+00,-420.52771E-03
