#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
3.6065760000e+09, -4.7532299161e-01, -6.8561218679e-02, -6.3707932939e+00, -2.9983393630e+00, -3.9000000000e+01, 1.7513756993e+09
3.6065820000e+09, -4.7499141097e-01, -7.0321470499e-02, -6.3721236397e+00, -2.9946124162e+00, -3.9000000000e+01, 1.7513756993e+09
3.6065880000e+09, -4.7240462899e-01, -6.8418346345e-02, -6.4235629719e+00, -2.9977627686e+00, -3.9000000000e+01, 1.7513756993e+09
3.6065940000e+09, -4.7318881750e-01, -6.8938136101e-02, -6.4080956606e+00, -2.9969220437e+00, -3.9000000000e+01, 1.7513756993e+09
3.6066000000e+09, -4.7195103765e-01, -6.5575458109e-02, -6.4390159559e+00, -3.0035311214e+00, -3.9000000000e+01, 1.7513756993e+09
3.6066060000e+09, -4.7394004464e-01, -6.4621433616e-02, -6.4055328922e+00, -3.0060789308e+00, -3.9000000000e+01, 1.7513756993e+09
3.6066120000e+09, -4.7223600745e-01, -6.6687382758e-02, -6.4310631864e+00, -3.0013040739e+00, -3.9000000000e+01, 1.7513756993e+09
3.6066180000e+09, -4.7223386168e-01, -6.4948655665e-02, -6.4354742765e+00, -3.0049151999e+00, -3.9000000000e+01, 1.7513756993e+09
3.6066240000e+09, -4.7355362773e-01, -6.4398750663e-02, -6.4130344898e+00, -3.0064313736e+00, -3.9000000000e+01, 1.7513756993e+09
3.6066300000e+09, -4.7664508224e-01, -6.5103389323e-02, -6.3558224802e+00, -3.0058459331e+00, -3.9000000000e+01, 1.7513756993e+09
3.6066360000e+09, -4.7406697273e-01, -6.1611749232e-02, -6.4104632406e+00, -3.0123528249e+00, -3.9000000000e+01, 1.7513756993e+09
3.6066420000e+09, -4.7392028570e-01, -6.1693254858e-02, -6.4129155079e+00, -3.0121441474e+00, -3.9000000000e+01, 1.7513756993e+09
3.6066480000e+09, -4.7528520226e-01, -6.0965139419e-02, -6.3900395891e+00, -3.0140186386e+00, -3.9000000000e+01, 1.7513756993e+09
3.6066540000e+09, -4.7486889362e-01, -6.1505913734e-02, -6.3962730433e+00, -3.0127878484e+00, -3.9000000000e+01, 1.7513756993e+09
3.6066600000e+09, -4.7613656521e-01, -5.7225689292e-02, -6.3830840408e+00, -3.0219788398e+00, -3.9000000000e+01, 1.7513756993e+09
3.6066660000e+09, -4.7580280900e-01, -5.9760835022e-02, -6.3834832239e+00, -3.0166469289e+00, -3.9000000000e+01, 1.7513756993e+09
3.6066720000e+09, -4.7495448589e-01, -5.7870786637e-02, -6.4029578998e+00, -3.0203454059e+00, -3.9000000000e+01, 1.7513756993e+09
3.6066780000e+09, -4.7357514501e-01, -5.6212503463e-02, -6.4314601676e+00, -3.0234472735e+00, -3.9000000000e+01, 1.7513756993e+09
3.6066840000e+09, -4.7636106610e-01, -5.5522255599e-02, -6.3826728072e+00, -3.0255612128e+00, -3.9000000000e+01, 1.7513756993e+09
3.6066900000e+09, -4.7769927978e-01, -5.5933985859e-02, -6.3577702987e+00, -3.0250330325e+00, -3.9000000000e+01, 1.7513756993e+09
3.6066960000e+09, -4.7531446815e-01, -5.4749056697e-02, -6.4031379110e+00, -3.0269131291e+00, -3.9000000000e+01, 1.7513756993e+09
3.6067020000e+09, -4.7364625335e-01, -5.6343562901e-02, -6.4298925813e+00, -3.0231919949e+00, -3.9000000000e+01, 1.7513756993e+09
3.6067080000e+09, -4.7467693687e-01, -5.3893916309e-02, -6.4164106850e+00, -3.0285386865e+00, -3.9000000000e+01, 1.7513756993e+09
3.6067140000e+09, -4.7638049722e-01, -5.3116761148e-02, -6.3872601513e+00, -3.0305506064e+00, -3.9000000000e+01, 1.7513756993e+09
3.6067200000e+09, -4.7570395470e-01, -5.2816588432e-02, -6.4000553709e+00, -3.0310172613e+00, -3.9000000000e+01, 1.7513756993e+09
3.6067260000e+09, -4.7567746043e-01, -5.1729965955e-02, -6.4026876892e+00, -3.0332682623e+00, -3.9000000000e+01, 1.7513756993e+09
3.6067320000e+09, -4.7443735599e-01, -5.2313156426e-02, -6.4239391051e+00, -3.0317727157e+00, -3.9000000000e+01, 1.7513756993e+09
3.6067380000e+09, -4.7474309802e-01, -5.0233393907e-02, -6.4224728442e+00, -3.0361731743e+00, -3.9000000000e+01, 1.7513756993e+09
3.6067440000e+09, -4.7621515393e-01, -4.9506116658e-02, -6.3972527098e+00, -3.0380072810e+00, -3.9000000000e+01, 1.7513756993e+09
3.6067500000e+09, -4.7544011474e-01, -5.1905147731e-02, -6.4066273036e+00, -3.0328504708e+00, -3.9000000000e+01, 1.7513756993e+09
3.6067560000e+09, -4.7593563795e-01, -4.7450866550e-02, -6.4060792115e+00, -3.0422208660e+00, -3.9000000000e+01, 1.7513756993e+09
3.6067620000e+09, -4.7678542137e-01, -4.9135863781e-02, -6.3876589532e+00, -3.0388986322e+00, -3.9000000000e+01, 1.7513756993e+09
3.6067680000e+09, -4.7523108125e-01, -4.8637937754e-02, -6.4166489214e+00, -3.0396019025e+00, -3.9000000000e+01, 1.7513756993e+09
