#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
3.6068640000e+09, -4.7884252667e-01, -3.8119502366e-02, -6.3687097243e+00, -3.0621525887e+00, -4.2000000000e+01, 1.7513755741e+09
3.6068700000e+09, -4.7766804695e-01, -3.7745784968e-02, -6.3904418062e+00, -3.0627355628e+00, -4.2000000000e+01, 1.7513755741e+09
3.6068760000e+09, -4.7486779094e-01, -3.5686161369e-02, -6.4440880591e+00, -3.0665839672e+00, -4.2000000000e+01, 1.7513755741e+09
3.6068820000e+09, -4.7575318813e-01, -3.5497754812e-02, -6.4282547805e+00, -3.0671168534e+00, -4.2000000000e+01, 1.7513755741e+09
3.6068880000e+09, -4.7754687071e-01, -3.7404529750e-02, -6.3931172490e+00, -3.0634258394e+00, -4.2000000000e+01, 1.7513755741e+09
3.6068940000e+09, -4.7750258446e-01, -3.4669104964e-02, -6.3976517883e+00, -3.0691147682e+00, -4.2000000000e+01, 1.7513755741e+09
3.6069000000e+09, -4.7740855813e-01, -3.3919237554e-02, -6.4003283441e+00, -3.0706631835e+00, -4.2000000000e+01, 1.7513755741e+09
3.6069060000e+09, -4.7840741277e-01, -3.5776503384e-02, -6.3798220725e+00, -3.0669490906e+00, -4.2000000000e+01, 1.7513755741e+09
3.6069120000e+09, -4.7681283951e-01, -3.2836239785e-02, -6.4124932695e+00, -3.0728351135e+00, -4.2000000000e+01, 1.7513755741e+09
3.6069180000e+09, -4.7842934728e-01, -3.4792903811e-02, -6.3807359237e+00, -3.0689972705e+00, -4.2000000000e+01, 1.7513755741e+09
3.6069240000e+09, -4.7762537003e-01, -2.9860394076e-02, -6.4013107026e+00, -3.0791554732e+00, -4.2000000000e+01, 1.7513755741e+09
3.6069300000e+09, -4.7541233897e-01, -2.9188847169e-02, -6.4422507134e+00, -3.0802727194e+00, -4.2000000000e+01, 1.7513755741e+09
3.6069360000e+09, -4.7479978204e-01, -2.9109921306e-02, -6.4534956811e+00, -3.0803594124e+00, -4.2000000000e+01, 1.7513755741e+09
3.6069420000e+09, -4.7473275661e-01, -2.9556456953e-02, -6.4542144305e+00, -3.0794137620e+00, -4.2000000000e+01, 1.7513755741e+09
3.6069480000e+09, -4.7686234117e-01, -3.2619204372e-02, -6.4118658657e+00, -3.0732952270e+00, -4.2000000000e+01, 1.7513755741e+09
3.6069540000e+09, -4.7796195745e-01, -2.6449050754e-02, -6.3988547344e+00, -3.0863118882e+00, -4.2000000000e+01, 1.7513755741e+09
3.6069600000e+09, -4.7671252489e-01, -2.6517134160e-02, -6.4214518143e+00, -3.0860249179e+00, -4.2000000000e+01, 1.7513755741e+09
3.6069660000e+09, -4.7783580422e-01, -2.7943158522e-02, -6.3995998107e+00, -3.0831805994e+00, -4.2000000000e+01, 1.7513755741e+09
3.6069720000e+09, -4.7981986403e-01, -2.4571593851e-02, -6.3670612070e+00, -3.0904273101e+00, -4.2000000000e+01, 1.7513755741e+09
3.6069780000e+09, -4.7937500477e-01, -2.5340525433e-02, -6.3743735136e+00, -3.0887802181e+00, -4.2000000000e+01, 1.7513755741e+09
3.6069840000e+09, -4.7638502717e-01, -2.4239841849e-02, -6.4296082919e+00, -3.0907536192e+00, -4.2000000000e+01, 1.7513755741e+09
3.6069900000e+09, -4.7701525688e-01, -2.1140724420e-02, -6.4208327655e+00, -3.0973028763e+00, -4.2000000000e+01, 1.7513755741e+09
3.6069960000e+09, -4.7968617082e-01, -2.1742237732e-02, -6.3719428586e+00, -3.0962976920e+00, -4.2000000000e+01, 1.7513755741e+09
3.6070020000e+09, -4.7732320428e-01, -2.2440165281e-02, -6.4141609683e+00, -3.0946147260e+00, -4.2000000000e+01, 1.7513755741e+09
3.6070080000e+09, -4.7701931000e-01, -2.3903107271e-02, -6.4183895849e+00, -3.0915252236e+00, -4.2000000000e+01, 1.7513755741e+09
3.6070140000e+09, -4.7874510288e-01, -1.8297627568e-02, -6.3915737082e+00, -3.1033912689e+00, -4.2000000000e+01, 1.7513755741e+09
3.6070200000e+09, -4.7896790504e-01, -2.1049911156e-02, -6.3854915690e+00, -3.0976724364e+00, -4.2000000000e+01, 1.7513755741e+09
3.6070260000e+09, -4.7892004251e-01, -2.0466508344e-02, -6.3868156598e+00, -3.0988839316e+00, -4.2000000000e+01, 1.7513755741e+09
3.6070320000e+09, -4.7726899385e-01, -1.9257681444e-02, -6.4176705733e+00, -3.1012647866e+00, -4.2000000000e+01, 1.7513755741e+09
